Service_Category,Service_Type,Link_to_Documentation,Google_Cloud_Product,Google_Cloud_Product_Description,AWS_Offering,Azure_Offering
Data analytics,Stream data ingest,https://cloud.google.com/pubsub,Pub/Sub,A streaming events ingestion service that integrates with Google Cloud data analytics and other open source software frameworks such as Apache Kafka and Apache Flink.,Amazon Kinesis Data Streams,Azure Event Hubs
Migration,Storage migration,https://cloud.google.com/storage-transfer-service,Storage Transfer Service,Complete large-scale online data transfers from online and on-premises sources to Cloud Storage.,"AWS Storage Gateway, AWS DataSync","Azure Data Factory, Azure Storage Mover"
Migration,Storage migration,https://cloud.google.com/transfer-appliance/,Transfer Appliance,Securely migrate large volumes of data to Google Cloud through physical shipments of large-capacity and cost-efficient storage transfer appliances.,"AWS Snowcone, AWS Snowball, AWS Snowmobile",Azure Data Box
Artificial intelligence & machine learning,Speech synthesis,https://cloud.google.com/text-to-speech,Text-to-Speech,Convert text into natural-sounding speech using an API powered by Google's AI technologies.,Amazon Polly,Azure Text to Speech
Artificial intelligence & machine learning,Speech recognition,https://cloud.google.com/speech-to-text,Speech-to-Text,Accurately convert speech into text using an API powered by Google's AI technologies.,Amazon Transcribe,Azure Speech to Text
Enterprise,Solutions catalog,https://cloud.google.com/service-catalog/docs,Service Catalog,Control internal enterprise solutions and make them easily discoverable.,AWS Service Catalog,"Azure Marketplace, Azure Managed Applications, Private ARM Template Gallery"
Security & Identity,Software supply chain,https://cloud.google.com/security/products/assured-open-source-software,Assured Open Source Software (Assured OSS),Enable users of open source software to incorporate the same trusted OSS packages that Google uses into their own developer workflows.,,
Security & identity,SOAR,https://cloud.google.com/chronicle/docs/soar/overview-and-introduction/soar-overview,Google Security Operations SOAR,"A platform that is designed to help organizations detect, investigate, and respond to security threats in real time.",,Microsoft Sentinel
Security & identity,SIEM,https://cloud.google.com/chronicle/docs/overview,Google Security Operations SIEM,"Normalizes, indexes, correlates, and analyzes security and network data to provide instant analysis and context on risky activity.",Amazon Security Lake,Microsoft Sentinel
Networking,Services discovery (DNS),https://cloud.google.com/service-directory,Service Directory,"Publish, discover, and connect services from a single directory.",AWS Cloud Map,Hashicorp Consul Service on Azure
Container services,Service mesh,https://cloud.google.com/service-mesh/docs,Cloud Service Mesh,"Simplify, manage, and secure complex microservices architectures with a fully managed service.",AWS App Mesh,
Migration,Server migration,https://cloud.google.com/migrate/virtual-machines,Migrate to Virtual Machines,"Migrate VM instances, disks, and images to Google Cloud from AWS, Azure, and VMware.",AWS Server Migration Service,Azure Migrate
API management,Self-hosted lightweight API management,https://cloud.google.com/endpoints/docs,Cloud Endpoints,"An API management system that helps you secure, monitor, analyze, and set quotas on your APIs using the same infrastructure that Google uses for its own APIs.",Amazon API Gateway,Self-hosted gateway in Azure API Gateway
Security,Security and risk management,https://cloud.google.com/security/products/attack-surface-management,Mandiant Attack Surface Management,"Discover and analyze your internet assets across dynamic, distributed, and shared environments.",,Microsoft Defender External Attack Surface Management
Security & identity,Security and risk management,https://cloud.google.com/security-command-center,Security Command Center,Security and risk management platform for Google Cloud.,"Amazon Guard Duty, AWS Security Hub, AWS Audit Manager, AWS Config",Microsoft Defender for Cloud
Container Services,Security & Identity,https://cloud.google.com/kubernetes-engine/enterprise/policy-controller/docs/overview,Policy Controller,Enable the application and enforcement of programmable policies for your GKE clusters.,,Azure Policy for Kubernetes
Container Services,Security & Identity,https://cloud.google.com/kubernetes-engine/docs/how-to/custom-org-policies,Custom organization policy for GKE,Create custom constraints for the Cluster or NodePool resources in GKE.,,Azure Policy for Kubernetes
Security & identity,Secret management,https://cloud.google.com/secret-manager,Secret Manager,"Store API keys, passwords, certificates, and other sensitive data.","AWS Secrets Manager, AWS Systems Manager Parameter Store",Azure Key Vault
Artificial intelligence & machine learning,Search assistance,https://cloud.google.com/solutions/retail-product-discovery,Vertex AI Search for retail,"Provide search, browsing, conversational search, and recommendations to your ecommerce applications, helping to increase revenue on each visit and reducing search abandonment.","Amazon Lex for Retail, Amazon Personalize, Amazon Cloud Search","Dynamics 365 Commerce, Azure AI Search"
Artificial intelligence & machine learning,Search as a service,https://cloud.google.com/generative-ai-app-builder/docs/enterprise-search-introduction,Vertex AI Search,Build a Google-quality search app on data that you control.,Amazon Kendra,Azure AI Search
Developer tools,SAP development,ABAP SDK for Google Cloud (on-premises or any cloud edition),ABAP SDK for Google Cloud (on-premises or any cloud edition),An on-premises or any cloud edition of ABAP SDK for Google Cloud that brings the power of Google Cloud to SAP developers in the ABAP programming language.,AWS SDK for SAP ABAP,ABAP SDK for Azure
Developer tools,SAP development,ABAP SDK for Google Cloud (SAP BTP Edition),ABAP SDK for Google Cloud (SAP BTP Edition),The SAP BTP edition of ABAP SDK for Google Cloud that brings the power of Google Cloud to SAP developers in the ABAP programming language.,AWS SDK for SAP ABAP (BTP Edition),
Developer tools,SAP development,https://cloud.google.com/solutions/sap/docs/abap-sdk/vertex-ai-sdk/latest/overview,Vertex AI SDK for ABAP,Let SAP developers seamlessly interact with Google's Vertex AI platform programmatically using ABAP.,,AI SDK for SAP ABAP
Security & identity,Resource monitoring,https://cloud.google.com/asset-inventory,Cloud Asset Inventory,"View, monitor, and analyze all your Google Cloud and Google Kubernetes Engine assets (including on other clouds and on-premises networks), across the projects and services that use this metadata inventory service.",AWS Config,Azure Resource Graph
Security & identity,Resource monitoring,https://cloud.google.com/resource-manager,Resource Manager,"Hierarchically manage resources by project, folder, and organization.",AWS Organizations,Azure Resource Manager
Security & identity,Resource access management,Organization Policy Service,Organization Policy Service,Configure restrictions on how resources can be used.,AWS Config,Azure Policy
Developer tools,Repository,Secure Source Manager,Secure Source Manager,"A regionally deployed, single-tenant managed source code repository hosted on Google Cloud that is designed to be highly secure.",AWS CodeCommit,Azure Repos
Serverless,Release & monitor,https://firebase.google.com/docs/app-distribution,Firebase App Distribution,Distribute your Firebase apps to trusted testers quickly and easily.,,
Serverless,Release & monitor,https://firebase.google.com/docs/crashlytics,Firebase Crashlytics,"Get real-time, actionable insight into Firebase application issues with this native crash reporting solution for iOS, Android, and Unity, including streaming data export.",,
Serverless,Release & monitor,https://firebase.google.com/docs/perf-mon,Firebase Performance Monitoring,Gain insight into your app's performance issues.,,
Serverless,Release & monitor,https://firebase.google.com/docs/test-lab,Firebase Test Lab,Test your Firebase application on devices hosted in a Google data center.,AWS Device Farm,
Serverless,Release & monitor,https://firebase.google.com/docs/app-check,Firebase App Check,Help protect your API resources from abuse by preventing unauthorized clients from accessing your backend resources.,,
Database,Relational,https://cloud.google.com/bare-metal,Bare Metal Solution,Lift and shift Oracle workloads to Google Cloud.,Amazon RDS for Oracle,Azure Oracle Database Enterprise Edition
Government services,Regulated services,https://cloud.google.com/assured-workloads,Assured Workloads,Run more secure and compliant workloads on Google Cloud.,AWS GovCloud,Azure Government
Database,"RDBMS, Multi-model",https://cloud.google.com/spanner,Spanner,"Build intelligent apps using an operational and relational database that combines capabilities such as graph, key-value, and search with horizontal scalability, high global availability, and no maintenance windows.","Amazon Aurora, Amazon DynamoDB, Amazon Keyspaces, Amazon Neptune","Azure SQL Database, Azure Cosmos DB"
Database,RDBMS,https://cloud.google.com/alloydb,AlloyDB for PostgreSQL,"Run transactional workloads 4 times faster than standard PostgreSQL and 2 times faster than Amazon's comparable PostgreSQL service, and run analytical queries up to 100 times faster.",Amazon Aurora,"Azure Cosmos DB for PostgreSQL, Azure SQL Database"
Database,RDBMS,https://cloud.google.com/sql,Cloud SQL,"Manage relational data for MySQL, PostgreSQL, and SQL Server for workloads under 64 TB.","Amazon Relational Database Service (RDS), Amazon Aurora","Azure Database for MySQL, Azure Database for PostgreSQL, Azure SQL Database"
Data analytics,Query service,https://cloud.google.com/bigquery,BigQuery,Analyze petabytes of data at scale using ANSI SQL and gain significantly lower three-year total cost of ownership (TCO) than competing cloud data warehouses.,Amazon Athena,Microsoft Fabric
Operations,Profiling,https://cloud.google.com/profiler/docs/about-profiler,Cloud Profiler,Understand resource consumption in your code and see the ways the code is actually called.,Amazon CodeGuru Profiler,Azure Monitor Application Insights Profiler
Networking,Premium networking,https://cloud.google.com/network-tiers,"Network Service Tiers, Premium Tier",High-performing network experience using Google's global network.,AWS Global Accelerator,Internet egress (routed over the premium Microsoft global network)
Networking,Premium networking,https://cloud.google.com/network-tiers,"Network Service Tiers, Standard Tier",Cost-effective network for data transfers with performance that is comparable to the internet.,AWS data transfer,Internet egress (routed over the public Internet (ISP network)
API management,Portals,https://cloud.google.com/apigee/docs/api-platform/publish/intro-portals,Apigee integrated portals,"Support for several developer portal solutions, ranging from simple turn-key solutions to solutions that are fully customizable and extensible.",Amazon API Gateway,Azure API Management
Artificial intelligence & machine learning,Personalization,https://cloud.google.com/recommendations,Recommendations,Deliver highly personalized product recommendations at scale.,Amazon Personalize,Azure Personalizer
Operations,Performance tracing,https://cloud.google.com/trace,Cloud Trace,Find performance bottlenecks in production.,AWS Application Signals,Application Insights
Compute,Operations management,https://cloud.google.com/workload-manager/docs/about-evaluations,Workload Manager evaluations,"A rule-based evaluation service that scans your workloads and detects deviations from standards, rules, and best practices to improve system quality, reliability, security, and performance.",AWS config,Azure Policy
Container services,Operating system,https://cloud.google.com/container-optimized-os/docs,Container-Optimized OS,"A Linux-based, security-optimized operating system for running in containers.",AWS Bottlerocket,
Storage,Object storage,https://cloud.google.com/storage,Cloud Storage,"Store any amount of data and retrieve it as often as you'd like, using Google Cloud's object storage offering.",AWS Simple Storage Service (S3),Azure Blob Storage
Database,NoSQL: Key-value,https://cloud.google.com/bigtable,Bigtable,"Run large analytical and operational workloads using this fully managed, scalable NoSQL database service.",Amazon DynamoDB,Azure Cosmos DB
Database,NoSQL: Indexed,https://cloud.google.com/datastore,Datastore,A highly scalable NoSQL database for your web and mobile applications.,"Amazon DocumentDB, Amazon DynamoDB",Azure Cosmos DB
Developer tools,No-code or low-code,https://cloud.google.com/appsheet,AppSheet,"Enable anyone to build business applications and automated workflows, without coding.",,Microsoft Power Platform
Networking,Network monitoring,https://cloud.google.com/network-intelligence-center,Network Intelligence Center,"Centralize your network monitoring functions to verify network configurations, optimize network performance, increase network security, and reduce troubleshooting time.",AWS Network Manager,Azure Network Watcher
Networking,Network connectivity,https://cloud.google.com/network-connectivity/docs/router,Cloud Router,Dynamically exchange routes between your Virtual Private Cloud (VPC) and on-premises networks by using Border Gateway Protocol (BGP).,"AWS Transit Gateway, AWS Direct Connect","Azure Route Server, Azure VPN gateway, Azure ExpressRoute"
Networking,Network connectivity,https://cloud.google.com/network-connectivity/docs/how-to/choose-product#cloud-interconnect,Cloud Interconnect,"Extend your on-premises network to Google's network through a highly available, low-latency connection. You can use Dedicated Interconnect to connect directly to Google or use Partner Interconnect to connect to Google through a supported service provider.",AWS Direct Connect,Azure ExpressRoute
Networking,Network connectivity,https://cloud.google.com/network-connectivity/docs/vpn/concepts/overview,Cloud VPN,Connect your peer network to your Virtual Private Cloud (VPC) network through an IPsec VPN connection.,AWS Virtual Private Network (VPN),Azure Virtual Private Network (VPN)
Networking,Network connectivity,https://cloud.google.com/network-connectivity-center,Network Connectivity Center,"Reimagine how you deploy, manage, and scale your networks on Google Cloud and beyond.","Amazon Cloud WAN, AWS Transit Gateway","Azure Virtual WAN, Azure Virtual Network Manager"
Networking,Network connectivity,https://cloud.google.com/private-service-connect,Private Service Connect,"Create a private and secure connection from your VPCs to Google, third parties, or your own services.",AWS PrivateLink,Azure Private Link
Artificial intelligence & machine learning,Natural language processing,https://cloud.google.com/natural-language,Natural Language AI,Derive insights from unstructured text using Google machine learning.,Amazon Comprehend,Azure Text Analytics
Generative AI services,Music generation,https://deepmind.google/discover/blog/transforming-the-future-of-music-creation/,Lyria,"Generate high-quality music with instrumentals and vocals, perform transformation and continuation tasks, and have nuanced control of the output's style and performance.",,Azure OpenAI Service
Serverless,Multi-cloud serverless,https://cloud.google.com/anthos/run,Knative serving,Flexible serverless development for multicloud environments.,,
Container services,Multi-cloud,https://cloud.google.com/anthos/clusters/,Google Kubernetes Engine (GKE) Enterprise edition clusters,"Extend GKE to work in multiple environments, including attached clusters, AWS, Azure, bare metal, and VMWare.",Amazon EKS Anywhere,
Container services,Multi-cloud,https://cloud.google.com/config-connector/docs/overview,Config Connector,Manage Google Cloud resources through Kubernetes.,AWS Controllers for Kubernetes,Azure Service Operator
Operations,Monitoring,https://cloud.google.com/monitoring,Cloud Monitoring,"Monitor the performance, availability, and health of your applications and infrastructure.",Amazon CloudWatch,Azure Monitor
API management,Monetization,https://cloud.google.com/apigee/docs/api-platform/monetization/overview,Apigee API Monetization,Create new revenue streams with flexible ways to monetize your APIs.,,Azure API Management
Media,Monetization,https://cloud.google.com/video-stitcher/,Video Stitcher API,Dynamically insert content and ads for targeted personalization of video-on-demand (VOD) and live content.,AWS MediaTailor,"Azure Media Services, Azure Video Indexer"
Generative AI services,Model deployment,https://cloud.google.com/generative-ai-studio,Vertex AI Studio,Rapidly prototype and test generative AI models.,AWS App Studio,Azure AI Studio
Management tools,Mobile tools,https://cloud.google.com/app,Google Cloud App,"Monitor, manage, and troubleshoot your cloud resources from your Android or iOS devices. Receive alerts and respond to production issues from anywhere.",AWS Console Mobile Application,Azure mobile app
Artificial intelligence & machine learning,ML platform,https://cloud.google.com/deep-learning-vm,Deep Learning VM Images,Preconfigured VMs for deep learning applications.,"Amazon SageMaker, Amazon EC2 P3",Azure Data Science Virtual Machines
Artificial intelligence & machine learning,ML platform,https://cloud.google.com/vertex-ai,Vertex AI,"Train your predictive and generative AI models at scale, host your trained model in the cloud, and use your model to make predictions about new data.",Amazon SageMaker,Azure AI Platform
Artificial intelligence & machine learning,ML platform,https://cloud.google.com/vertex-ai-workbench,Vertex AI Workbench,Create instances running JupyterLab that come pre-installed with the latest data science and machine learning frameworks in a single click.,Amazon SageMaker,Azure Notebooks
Artificial intelligence & machine learning,ML platform,https://cloud.google.com/vertex-ai-vision,Vertex AI Vision,"An AI-powered platform to ingest, analyze, and store video streaming data.",,
Migration,Migration platform,https://cloud.google.com/migration-center/docs/migration-center-overview,Google Cloud Migration Center,A unified platform that helps you discover and assess source resources migrations from on-premises or cloud environments to Google Cloud.,AWS Migration Hub,Azure Migrate
Data analytics,Metadata processing,https://cloud.google.com/dataproc-metastore/docs,Dataproc Metastore,A fully managed Apache Hive metastore (HMS) that runs on Google Cloud.,AWS Glue Catalog,
Data analytics,Messaging,https://cloud.google.com/pubsub,Pub/Sub,A highly scalable messaging service for publishing and subscribing.,"Amazon Kinesis Data Streams, Amazon MQ",Azure Service Bus Messaging
Enterprise,Marketplace,https://cloud.google.com/marketplace,Google Cloud Marketplace,Scale procurement for your enterprise using online discovery. Purchase enterprise-grade cloud solutions directly or through partners.,AWS Marketplace,Azure Marketplace
Management tools,Management tools,https://cloud.google.com/config-connector/docs/overview,Config Connector (KCC),An open source Kubernetes add-on that lets you manage Google Cloud resources through Kubernetes.,AWS Controllers for Kubernetes (ACK),Azure Service Operator
Security,Managed threat hunting,https://cloud.google.com/security/products/mandiant-managed-threat-hunting,Mandiant Hunt,"Offer continuous threat hunting conducted by specialized Mandiant experts, seamlessly integrating with your Google Security Operations and multicloud data sources.",,Microsoft Defender Experts for Hunting
Compute,Machine series,https://cloud.google.com/compute/docs/memory-optimized-machines,Memory-optimized machine family,The most compute and memory resources of the Compute Engine machine family with up to 32 TB memory and 99.95% reliability SLA.,Amazon EC2 High Memory U7i Instances,Azure M-series Mv3 family
Artificial intelligence & machine learning,Machine learning models,https://cloud.google.com/model-garden,Vertex AI Model Garden,"A curated repository of foundational, open source, and fine-tunable models from Google and Google partners.",AWS JumpStart with Amazon Bedrock,Azure AI model catalog
Operations,Logging,https://cloud.google.com/logging,Cloud Logging,Manage logging and analysis in real time at scale.,Amazon CloudWatch Logs,Azure Monitor Logs
Networking,Load balancing,https://cloud.google.com/load-balancing,Cloud Load Balancing,"Efficiently distribute network traffic across Compute Engine, Google Kubernetes Engine, serverless applications, and multi-cloud services.","Elastic Load Balancing, AWS Application Load Balancer",Azure Load Balancer
Security & identity,Key management,https://cloud.google.com/kms/docs/hsm,Cloud KMS and Cloud HSM,Host encryption keys and perform cryptographic operations in a cluster of FIPS 140-2 Level 3 certified hardware security modules (HSMs).,AWS KMS,Azure Key Vault
Security & identity,Key management,https://cloud.google.com/kms/docs/ekm,Cloud KMS and Cloud External Key Manager (Cloud EKM),Use keys that you manage within a supported external key management partner to protect data within Google Cloud.,"AWS KMS with AWS External Key Store (XKS), AWS CloudHSM with custom key store",Azure Managed HSM
Security & identity,Key management,https://cloud.google.com/security-key-management,Cloud Key Management Service (Cloud KMS),Manage encryption keys on Google Cloud.,AWS Key Management Service (KMS),Azure Key Vault
Artificial intelligence & machine learning,Job search assistance,https://cloud.google.com/solutions/talent-solution,Cloud Talent Solution,Power your job search and candidate matching solutions with built-in machine learning algorithms.,AI Talent Search,
Developer tools,Job scheduling,https://cloud.google.com/scheduler,Cloud Scheduler,Fully managed cron job service.,Amazon EventBridge,Azure Logic Apps
iPaaS,Integration platform,https://cloud.google.com/application-integration/docs/overview,Application Integration and Integration Connectors,An Integration Platform as a Service (iPaaS) that automates business processes by connecting any application with point-and-click configurations.,Amazon AppFlow,Azure Logic Apps
Compute,Infrastructure modernization,https://cloud.google.com/solutions/sap/docs/overview-of-sap-on-google-cloud,SAP on Google Cloud,Run SAP on Google Cloud.,SAP on AWS,SAP on Azure
Compute,Infrastructure modernization,https://services.google.com/fh/files/misc/sap_rise_with_google_cloud_brief.pdf,RISE with SAP,Run RISE with SAP on Google Cloud.,SAP on AWS,SAP on Azure
Database,In-memory data store,https://cloud.google.com/memorystore,Memorystore,"Reduce latency with scalable, secure, and highly available in-memory service for Valkey, Redis, and Memcached.",Amazon ElastiCache,Azure Cache
Artificial intelligence & machine learning,Image recognition,https://cloud.google.com/vision,Vision AI,"Derive insights from your images in the cloud or at the edge, or use pre-trained Vision API models to detect emotion, understand text, and more.",Amazon Rekognition Image,Azure Computer Vision
Generative AI services,Image generation,https://cloud.google.com/vertex-ai/generative-ai/docs/image/overview,Imagen,Build next-generation AI products that transform your user's imagination into high-quality visual assets using generative AI.,AmazonTitan,Azure OpenAI Service
Identity,IAM,https://cloud.google.com/access-context-manager/docs/overview,Access Context Manager,"Configure access levels that map to a policy which is defined on request attributes. You can use these access levels with Identity-Aware Proxy, Identity-Aware Proxy for TCP, VPC Service Controls, and more.",,Conditional Access
Security & identity,IAM,https://cloud.google.com/identity/,Cloud Identity,"A unified identity, access, app, and endpoint management (IAM/EMM) platform.",AWS IAM Identity Center,Microsoft Entra ID (Azure AD)
Security & identity,IAM,https://cloud.google.com/identity/,Identity and Access Management (IAM),Provide fine-grained access control and visibility for centrally managing resources.,Amazon Identity and Access Management,Azure Identity Management
Security & identity,IAM,https://cloud.google.com/iap,Identity-Aware Proxy (IAP),Use identity and context to help enable secure access to web applications and services.,AWS Application Load Balancer with Cognito and Verified Access,Azure App Gateway with Entra ID and Application Proxy
Security & identity,IAM,https://cloud.google.com/iap/docs/using-tcp-forwarding,Identity-Aware Proxy (IAP) TCP forwarding,Use identity and context to help enable secure SSH and RDP access to VMs in Google Cloud and other clouds.,AWS Session Manager,Azure Bastion Hosts
Security & identity,IAM,https://cloud.google.com/managed-microsoft-ad,Managed Service for Microsoft Active Directory,"Use a highly available, hardened service running actual Microsoft Active Directory (AD).",AWS Managed Microsoft AD,Azure Active Directory Domain Services
Security & Identity,IAM,https://cloud.google.com/workforce-identity-federation,Workload Identity Federation,"Use an external identity provider (IdP) to authenticate and authorize your users using IAM, so that your users can access Google Cloud services.",AWS Identity and Access Management Roles Anywhere,Workload identity federation in Microsoft Entra Workload ID
Distributed cloud,Hybrid or connected,https://cloud.google.com/distributed-cloud,Google Distributed Cloud,"Extend Google Cloud infrastructure and services to the edge and your data centers, with a connection to Google Cloud.",AWS Outposts,Azure Stack
Serverless apps,Hosting,https://firebase.google.com/docs/app-hosting,Firebase App Hosting,"Streamline the development and deployment of dynamic Next.js and Angular applications, offering built-in framework support, GitHub integration, and integration with other Firebase products like Firebase Authentication, Firestore, and Vertex AI in Firebase.",AWS Amplify Hosting,"GitHub Pages, Static Web Apps"
Developer tools,Git Repositories,https://cloud.google.com/source-repositories/docs,Cloud Source Repositories,"Access fully featured, private Git repositories hosted on Google Cloud.",AWS Code Commit,Azure Repos
Container services,Gaming,https://solutions.cloud.google.com/app/solutions/gameserv-gke,Game Servers,Deliver seamless multiplayer gaming experiences with simpler multicluster management.,Amazon GameLift,Azure PlayFab Multiplayer Services
Serverless,Fully managed app platform,https://cloud.google.com/run,Cloud Run,Develop and deploy highly scalable containerized applications on a fully managed serverless platform.,"AWS App Runner, AWS Fargate, AWS Lambda","Azure Container Apps, Azure Container Instances"
Networking,Firewall,https://cloud.google.com/firewall/docs/about-firewalls,Cloud Next Generation Firewall Enterprise (NGWF),"Protect your workloads from threats and malicious attacks including intrusion prevention service with TLS decryption, protecting from malware, spyware, and command-and-control attacks on your network.",AWS Network Firewall with Suricata,Azure Firewall premium
Networking,Firewall,https://cloud.google.com/firewall/docs/about-firewalls,Cloud Next Generation Firewall Standard,Use advanced firewall rules that simplify policy configuration and micro-segmentation to protect your cloud infrastructure and workloads.,AWS Network Firewall,Azure Firewall
Networking,Firewall,https://cloud.google.com/firewall/docs/about-firewalls,Cloud Next Generation Firewall Essentials,"Use global network firewall policies and regional network firewall policies to achieve a zero-trust network posture using a fully-distributed, cloud-first firewall service.",AWS Network Firewall,Azure Firewall
Networking,Firewall,https://cloud.google.com/security/products/intrusion-detection-system,Cloud Intrusion Detection System (Cloud IDS),"Detect network-based threats such as malware, spyware, and command-and-control attacks.",Packet Mirroring with 3P,Packet Mirroring with 3P
Storage,File storage,https://cloud.google.com/filestore,Filestore,Provide fully managed NFS file servers on Google Cloud for applications running on Compute Engine VMs instances or GKE clusters.,Amazon Elastic File System (EFS),Azure Files
Storage,File storage,https://cloud.google.com/parallelstore/docs/overview,Parallelstore,"A fully managed, low-latency distributed file system designed to meet the demands of AI and ML training, high performance computing (HPC), and other data-intensive applications.",Amazon FSx for Lustre,Azure Managed Lustre
Storage,File storage,https://cloud.google.com/netapp-volumes,Google Cloud NetApp Volumes,"A fully managed, cloud-based data storage service that provides advanced data management capabilities and highly scalable performance to support SAP, SMB, and Linux based applications.",Amazon FSx for NetApp ONTAP,Azure NetApp Files
Serverless,FaaS,https://cloud.google.com/functions,Cloud Run functions,"Run your code with zero server management with this scalable, pay-as-you-go functions-as-a-service (FaaS) offering.",AWS Lambda,Azure Functions Serverless Compute
Serverless,FaaS,https://firebase.google.com/products/functions,Cloud Functions for Firebase,"Run backend code for your Firebase applications in response to events that are triggered by Firebase and Google Cloud features, without managing servers.",AWS Lambda,Azure Functions Serverless Compute
Security & identity,Exfiltration prevention,https://cloud.google.com/vpc-service-controls,VPC Service Controls,Isolate resources of multi-tenant Google Cloud services to help mitigate data exfiltration risks.,,
Serverless,Event handling,https://cloud.google.com/eventarc/docs,Eventarc,"Asynchronously deliver events from Google services, SaaS, and your own apps using loosely coupled services that react to state changes.",AWS EventBridge,Azure Event Grid
Developer tools,Error handling,https://cloud.google.com/error-reporting,Error Reporting,Real-time exception monitoring and alerting for your applications.,,
Serverless,Engage,https://firebase.google.com/products/cloud-messaging,Firebase Cloud Messaging,"Send and receive notifications across platforms with this reliable and battery-efficient connection between your server and devices, including iOS, Android, and the web.","Amazon Device Messaging (ADM), Amazon Simple Notification Service (SNS)",Azure Notification Hubs
Serverless,Engage,https://firebase.google.com/products/in-app-messaging,Firebase Messaging Campaigns (Firebase Cloud Messaging or Firebase In-App Messaging),"Engage active users of your Firebase application by sending them targeted, contextual messages to complete key actions, such as beating a game level, buying an item, or subscribing to content.",Amazon Simple Notification Service (SNS),Azure Notification Hubs
Serverless,Engage,https://firebase.google.com/products/remote-config,Firebase Remote Config,Control and optimize your app on the fly.,AWS AppConfig,Azure App Configuration
Serverless,Engage,https://firebase.google.com/docs/analytics/,Google Analytics for Firebase,Make informed decisions regarding application marketing and performance optimizations by understanding user behavior using the Firebase SDK and integration with the Google ecosystem.,"AWS Amplify, Amazon Pinpoint, Amazon Kinesis",
